station;sample;station_name;size_code;taxon_name;species_code;density;biomass;added_by_user;notes;...11;area;location 
8;2;ОH8_2;;Hydrobia sp.;#N/A;101;"0,057";Манылова;"Alexeeva_onega25.pdf(12), Poloskin-2_01.jpg, (0.5)";сито 0.5;30;veiga
8;1;ОH8_1;;Nereis sp.;788;1;"0,017";Манылова;av-dop.pdf(17);сито 1;1;veiga
8;1;ОH8_1;;Mya arenaria;440;16;"4,595";Манылова;av-dop.pdf(17);сито 1;1;veiga
8;1;ОH8_1;;Hydrobia sp.;#N/A;2149;"4,159";Манылова;av-dop.pdf(17);сито 1;1;veiga
8;1;ОH8_1;;Macoma balthica;435;85;"24,601";Манылова;av-dop;сито 1;1;veiga
8;1;ОH8_1;;Hydrobia sp.;#N/A;382;"0,103";Манылова;av-dop.pdf(17);сито 0.5;1;veiga
8;1;ОH8_1;;Nephthys minuta;784;2;"0,002";Манылова;av-dop;сито 0.5;1;veiga
8;1;ОH8_1;;Pygospio elegans;740;6;"0,003";Манылова;av-dop;сито 0.5;1;veiga
8;1;ОH8_1;;Tubificoides benedeni;829;3;"0,002";Манылова;av-dop;сито 0.5;1;veiga
8;1;ОH8_1;;Tubifex costatus;828;4;"0,001";Манылова;av-dop;сито 0.5;1;veiga
16;3;ОH16_3;;Macoma balthica;435;18;"4,631";Аристов;"Alexeeva_onega25.pdf(10), Poloskin-2_06.jpg, (0.5)";сито 1;30;veiga
16;3;ОH16_3;;Nephthys minuta;784;1;"0,002";Аристов;"Alexeeva_onega25.pdf(10), Poloskin-2_06.jpg, (0.5)";сито 1;30;veiga
16;3;ОH16_3;;Paranais litoralis;833;1;"0,001";Аристов;"Alexeeva_onega25.pdf(10), Poloskin-2_06.jpg, (0.5)";сито 1;30;veiga
16;3;ОH16_3;;Tubifex costatus;828;3;"0,005";Аристов;"Alexeeva_onega25.pdf(10), Poloskin-2_06.jpg, (0.5)";сито 1;30;veiga
16;3;ОH16_3;;Hydrobia ventrosa;376;18;"0,076";Аристов;"Alexeeva_onega25.pdf(10), Poloskin-2_06.jpg, (0.5), рассчетные значения, суммарно 894x5,528";сито 1;30;veiga
16;3;ОH16_3;;Hydrobia ulvae;375;986;"5,831";Аристов;"Alexeeva_onega25.pdf(10), Poloskin-2_06.jpg, (0.5), рассчетные значения, суммарно 894x5,528";сито 1;30;veiga
16;3;ОH16_3;;Fabricia sabella;797;5;"0,002";Манылова;"Alexeeva_onega25.pdf(10), Poloskin-2_06.jpg, (0.5) возможен перенос с сита";сито 0.5;30;veiga
16;3;ОH16_3;;Capitella capitata;642;1;"0,002";Манылова;"Alexeeva_onega25.pdf(10), Poloskin-2_06.jpg, (0.5)";сито 0.5;30;veiga
16;3;ОH16_3;;Eteone longa;709;1;"0,002";Манылова;"Alexeeva_onega25.pdf(10), Poloskin-2_06.jpg, (0.5)";сито 0.5;30;veiga
16;3;ОH16_3;;Pygospio elegans;740;1;"0,001";Манылова;"Alexeeva_onega25.pdf(10), Poloskin-2_06.jpg, (0.5)";сито 0.5;30;veiga
16;3;ОH16_3;;Tubificoides benedeni;829;1;"0,001";Манылова;"Alexeeva_onega25.pdf(10), Poloskin-2_06.jpg, (0.5)";сито 0.5;30;veiga
16;3;ОH16_3;;Hydrobia sp.;#N/A;9;"0,008";Манылова;Alexeeva_onega25.pdf(10);сито 0.5;30;veiga
16;3;ОH16_3;;Tubifex costatus;642;7;"0,006";Манылова;" Poloskin-2_06.jpg, (0.5)";сито 0.5;30;veiga
16;2;ОH16_2;;Macoma balthica;435;15;"3,28";Аристов;"Alexeeva_onega25.pdf(12, 13 (0.5))";сито 1;30;veiga
16;2;ОH16_2;;Mya arenaria;440;2;"1,952";Аристов;"Alexeeva_onega25.pdf(12, 13 (0.5))";сито 1;30;veiga
16;2;ОH16_2;;Nephthys minuta;784;1;"0,003";Аристов;"Alexeeva_onega25.pdf(12, 13 (0.5))";сито 1;30;veiga
16;2;ОH16_2;;Pygospio elegans;740;1;"0,002";Аристов;"Alexeeva_onega25.pdf(12, 13 (0.5))";сито 1;30;veiga
16;2;ОH16_2;;Tubifex costatus;828;15;"0,011";Аристов;"Alexeeva_onega25.pdf(12, 13 (0.5))";сито 1;30;veiga
16;2;ОH16_2;;Tubificoides benedeni;829;5;"0,006";Аристов;"Alexeeva_onega25.pdf(12, 13 (0.5))";сито 1;30;veiga
16;2;ОH16_2;;Hydrobia ventrosa;376;93;"0,187";Аристов;"Alexeeva_onega25.pdf(12,13), рассчетные значения, суммарно 1177x3627 + гидробии из 0.5";сито 1;30;veiga
16;2;ОH16_2;;Hydrobia ulvae;375;1266;"3,992";Аристов;"Alexeeva_onega25.pdf(12,13), рассчетные значения, суммарно 1177x3627 + гидробии из 0.5";сито 1;30;veiga
16;2;ОH16_2;;Pygospio elegans;740;1;"0,002";Аристов;"Alexeeva_onega25.pdf(12, 13 (0.5))";сито 1;30;veiga
16;2;ОH16_2;;Nephthys minuta;784;1;"0,002";Аристов;"Alexeeva_onega25.pdf(12,13), рассчетные значения, суммарно 1177x3627 + гидробии из 0.5";сито 0.5;30;veiga
16;2;ОH16_2;;Tubifex costatus;828;12;"0,006";Аристов;"Alexeeva_onega25.pdf(12,13), рассчетные значения, суммарно 1177x3627 + гидробии из 0.5";сито 0.5;30;veiga
16;2;ОH16_2;;Tubificoides benedeni;829;1;"0,001";Аристов;"Alexeeva_onega25.pdf(12, 13 (0.5))";сито 0.5;30;veiga
16;2;ОH16_2;;Hydrobia ulvae;375;9;"0,007";Аристов;"Alexeeva_onega25.pdf(12,13), рассчетные значения, суммарно 1177x3627 + гидробии из 0.5";сито 0.5;30;veiga
16;1;ОH16_1;;Hydrobia sp.;#N/A;16;"0,011";Манылова;av-dop;сито 0.5;1;veiga
16;1;ОH16_1;;Nephthys minuta;784;1;"0,004";Манылова;av-dop;сито 0.5;1;veiga
16;1;ОH16_1;;Tubifex costatus;828;23;"0,011";Манылова;av-dop;сито 0.5;1;veiga
16;1;ОH16_1;;Tubificoides benedeni;829;4;"0,005";Манылова;av-dop;сито 0.5;1;veiga
16;1;ОH16_1;;Paranais litoralis;833;3;"0,001";Манылова;av-dop;сито 0.5;1;veiga
16;1;ОH16_1;;Pygospio elegans;740;4;"0,003";Манылова;av-dop;сито 0.5;1;veiga
16;1;ОH16_1;;Fabricia sabella;797;1;"0,001";Манылова;av-dop;сито 0.5;1;veiga
16;1;ОH16_1;;Eteone longa;709;2;"0,001";Манылова;av-dop;сито 1 ;1;veiga
16;1;ОH16_1;;Macoma balthica;435;59;"13,603";Манылова;av-dop.pdf;сито 1;1;veiga
16;1;ОH16_1;;Pygospio elegans;740;1;"0,001";Манылова;av-dop;сито 1;1;veiga
16;1;ОH16_1;;Tubifex costatus;828;2;"0,001";Манылова;av-dop;сито 1;1;veiga
16;1;ОH16_1;;Hydrobia sp.;#N/A;3729;"7,81";Манылова;av-dop;сито 1;1;veiga
16;1;ОH16_1;;Tubificoides benedeni;829;1;"0,001";Манылова;av-dop;сито 1;1;veiga
17;3;ОH17_3;;Macoma balthica;435;5;"0,614";Аристов;"Alexeeva_onega25.pdf(7-8), фауна с сита 0.5 просуммирована";сито 1;30;veiga
17;3;ОH17_3;;Nephthys minuta;784;1;"0,002";Аристов;"Alexeeva_onega25.pdf(7-8), фауна с сита 0.5 просуммирована";сито 1;30;veiga
17;3;ОH17_3;;Eteone longa;709;1;"0,001";Аристов;"Alexeeva_onega25.pdf(7-8), фауна с сита 0.5 просуммирована";сито 1;30;veiga
17;3;ОH17_3;;Paranais litoralis;833;4;"0,002";Аристов;"Alexeeva_onega25.pdf(7-8), фауна с сита 0.5 просуммирована";сито 1;30;veiga
17;3;ОH17_3;;Tubifex costatus;828;2;"0,001";Аристов;"Alexeeva_onega25.pdf(7-8), фауна с сита 0.5 просуммирована";сито 1;30;veiga
17;3;ОH17_3;;Pygospio elegans;740;2;"0,002";Аристов;"Alexeeva_onega25.pdf(7-8), фауна с сита 0.5 просуммирована";сито 1;30;veiga
17;3;ОH17_3;;Hydrobia ventrosa;376;28;"0,086";Аристов;"Alexeeva_onega25.pdf(7-8), фауна с сита 0.5 просуммирована, рассчетные значения, суммарно 720x2,051";сито 1;30;veiga
17;3;ОH17_3;;Hydrobia ulvae;375;693;"1,966";Аристов;"Alexeeva_onega25.pdf(7-8), фауна с сита 0.5 просуммирована, рассчетные значения, суммарно 720x2,051";сито 1;30;veiga
17;3;ОH17_3;;Polychaeta;819;NA;"0,001";Аристов;"Alexeeva_onega25.pdf(7-8), фауна с сита 0.5 просуммирована";сито 0.5;30;veiga
17;3;ОH17_3;;Paranais litoralis;833;4;"0,002";Манылова;"Alexeeva_onega25.pdf(7-8), фауна с сита 0.5 просуммирована, рассчетные значения, суммарно 720x2,051";сито 0.5;30;veiga
17;3;ОH17_3;;Tubifex costatus;828;1;"0,001";Манылова;"Alexeeva_onega25.pdf(7-8), фауна с сита 0.5 просуммирована, рассчетные значения, суммарно 720x2,051";сито 0.5;30;veiga
17;3;ОH17_3;;Hydrobia ulvae;375;1;"0,001";Манылова;"Alexeeva_onega25.pdf(7-8), фауна с сита 0.5 просуммирована";сито 0.5;30;veiga
17;2;ОH17_2;;Macoma balthica;435;9;"2,847";Аристов;"Alexeeva_onega25.pdf(12), ";сито 1;30;veiga
17;2;ОH17_2;;Pygospio elegans;740;1;"0,002";Аристов;"Alexeeva_onega25.pdf(12), ";сито 1;30;veiga
17;2;ОH17_2;;Paranais litoralis;833;4;"0,004";Аристов;"Alexeeva_onega25.pdf(12), ";сито 1;30;veiga
17;2;ОH17_2;;Tubifex costatus;828;1;"0,002";Аристов;"Alexeeva_onega25.pdf(12), ";сито 1;30;veiga
17;2;ОH17_2;;Hydrobia ulvae;375;797;"2,34";Аристов;"Alexeeva_onega25.pdf(12), ";сито 1;30;veiga
17;2;ОH17_2;;Hydrobia ventrosa;376;60;"0,146";Аристов;"Alexeeva_onega25.pdf(12), ";сито 1;30;veiga
17;2;ОH17_2;;Tubificoides benedeni;829;6;"0,004";Аристов;PoloskinA-1_01.jpg;сито 0.5;30;veiga
17;2;ОH17_2;;Macoma balthica;435;1;"0,003";Аристов;PoloskinA-1_01.jpg;сито 0.5;30;veiga
17;2;ОH17_2;;Tubifex costatus;828;9;"0,012";Аристов;PoloskinA-1_01.jpg;сито 0.5;30;veiga
17;2;ОH17_2;;Hydrobia sp.;;16;"0,006";Аристов;PoloskinA-1_01.jpg;сито 0.5;30;veiga
17;2;ОH17_2;;Pygospio elegans;740;1;"0,002";Аристов;PoloskinA-1_01.jpg;сито 0.5;30;veiga
17;2;ОH17_2;;Nephthys minuta;;1;"0,003";Аристов;PoloskinA-1_01.jpg;сито 0.5;30;veiga
17;2;ОH17_2;;Microspio sp.;;1;"0,002";Аристов;PoloskinA-1_01.jpg;сито 0.5;30;veiga
18;3;ОH18_3;;Macoma balthica;435;8;"1,527";Аристов;Alexeeva_onega25.pdf(9-10);сито 1;30;veiga
18;3;ОH18_3;;Arenicola marina;615;1;"0,016";Аристов;"Alexeeva_onega25.pdf(9-10), Poloskin-2_02.jpg, (0.5)";сито 1;30;veiga
18;3;ОH18_3;;Eteone longa;709;2;"0,016";Аристов;"Alexeeva_onega25.pdf(9-10), Poloskin-2_02.jpg, (0.5)";сито 1;30;veiga
18;3;ОH18_3;;Nephthys minuta;784;1;"0,002";Аристов;"Alexeeva_onega25.pdf(9-10), Poloskin-2_02.jpg, (0.5)";сито 1;30;veiga
18;3;ОH18_3;;Paranais litoralis;833;5;"0,003";Аристов;"Alexeeva_onega25.pdf(9-10), Poloskin-2_02.jpg, (0.5)";сито 1;30;veiga
18;3;ОH18_3;;Hydrobia ventrosa;376;29;"0,054";Аристов;"Alexeeva_onega25.pdf(9-10), Poloskin-2_02.jpg, (0.5), рассчетные значения, суммарно 1262x4,129";сито 1 ;30;veiga
18;3;ОH18_3;;Hydrobia ulvae;375;1558;"5,123";Аристов;"Alexeeva_onega25.pdf(9-10), Poloskin-2_02.jpg, (0.5), рассчетные значения, суммарно 1262x4,129";сито 1;30;veiga
18;3;ОH18_3;;Hydrobia sp.;#N/A;10;"0,005";Манылова;"Poloskin-2_02.jpg, (0.5)";сито 0.5;30;veiga
18;3;ОH18_3;;Tubifex costatus;828;6;"0,005";Манылова;"Poloskin-2_02.jpg, (0.5)";сито 0.5;30;veiga
18;3;ОH18_3;;Macoma balthica;435;2;"0,003";Манылова;"Poloskin-2_02.jpg, (0.5)";сито 0.5;30;veiga
18;3;ОH18_3;;Eteone longa;709;2;"0,002";Манылова;"Poloskin-2_02.jpg, (0.5)";сито 0.5;30;veiga
18;3;ОH18_3;;Paranais litoralis;833;10;"0,005";Манылова;"Poloskin-2_02.jpg, (0.5)";сито 0.5;30;veiga
18;3;ОH18_3;;Nephthys minuta;784;3;"0,003";Манылова;"Poloskin-2_02.jpg, (0.5)";сито 0.5;30;veiga
18;2;ОH18_2;;Macoma balthica;435;12;"4,145";Аристов;Alexeeva_onega25.pdf(11);сито 1;30;veiga
18;2;ОH18_2;;Nephthys minuta;784;1;"0,003";Аристов;Alexeeva_onega25.pdf(11);сито 1;30;veiga
18;2;ОH18_2;;Paranais litoralis;833;10;"0,005";Аристов;Alexeeva_onega25.pdf(11);сито 1;30;veiga
18;2;ОH18_2;;Tubifex costatus;828;3;"0,003";Аристов;Alexeeva_onega25.pdf(11);сито 1;30;veiga
18;2;ОH18_2;;Hydrobia ventrosa;376;41;"0,143";Аристов;Alexeeva_onega25.pdf(11);сито 1;30;veiga
18;2;ОH18_2;;Hydrobia ulvae;375;767;"3,824";Аристов;Alexeeva_onega25.pdf(11);сито 1;30;veiga
18;2;ОH18_2;;Eteone longa;709;1;"0,002";Манылова;"Poloskin-2_02.jpg, (0.5)";сито 0.5;30;veiga
18;2;ОH18_2;;Hydrobia sp.;#N/A;11;"0,005";Манылова;"Poloskin-2_02.jpg, (0.5)";сито 0.5;30;veiga
18;2;ОH18_2;;Nephthys minuta;784;1;"0,002";Манылова;"Poloskin-2_02.jpg, (0.5)";сито 0.5;30;veiga
18;2;ОH18_2;;Tubifex costatus;828;3;"0,003";Манылова;"Poloskin-2_02.jpg, (0.5)";сито 0.5;30;veiga
19;1;ОH19_1;;Nereis sp.;788;1;"0,002";Манылова;av-dop.pdf(17);сито 0.5;1;veiga
19;1;ОH19_1;;Tubifex costatus;828;88;"0,027";Манылова;av-dop.pdf(17);сито 0.5;1;veiga
19;1;ОH19_1;;Clitellio arenarius;826;28;"0,005";Манылова;av-dop.pdf(17);сито 0.5;1;veiga
19;1;ОH19_1;;Mya arenaria;440;4;"1,38";Манылова;av-dop.pdf(17);сито 0.5;1;veiga
19;1;ОH19_1;;Hydrobia sp.;#N/A;6;"0,001";Манылова;av-dop.pdf(17);сито 0.5;1;veiga
19;1;ОH19_1;;Macoma balthica;435;88;"34,714";Манылова;av-dop.pdf(17);сито 0.5;1;veiga
19;1;ОH19_1;;Pygospio elegans;740;3;"0,003";Манылова;av-dop;сито 0.5;1;veiga
19;1;ОH19_1;;Paranais litoralis;833;6;"0,003";Манылова;av-dop;сито 0.5;1;veiga
19;1;ОH19_1;;Nephthys minuta;784;2;"0,005";Манылова;av-dop;сито 0.5;1;veiga
19;1;ОH19_1;;Eteone longa;709;1;"0,001";Манылова;av-dop;сито 0.5;1;veiga
19;1;ОH19_1;;Capitella capitata;642;1;"0,001";Манылова;av-dop;сито 0.5;1;veiga
19;1;ОH19_1;;Microspio sp.;#N/A;1;"0,001";Манылова;av-dop;сито 0.5;1;veiga
19;3;ОH19_3;;Macoma balthica;435;15;"5,246";Манылова;Alexeeva_onega25.pdf(8);сито 1;30;veiga
19;3;ОH19_3;;Mya arenaria;440;2;"0,69";Аристов;Alexeeva_onega25.pdf(8);сито 1;30;veiga
19;3;ОH19_3;;Alita virens;789;1;"0,034";Аристов;Alexeeva_onega25.pdf(8);сито 1;30;veiga
19;3;ОH19_3;;Paranais litoralis;833;2;"0,001";Аристов;Alexeeva_onega25.pdf(8);сито 1;30;veiga
19;3;ОH19_3;;Tubifex costatus;828;3;"0,003";Аристов;Alexeeva_onega25.pdf(8);сито 1;30;veiga
19;3;ОH19_3;;Hydrobia ventrosa;376;69;"0,124";Аристов;Alexeeva_onega25.pdf(8);сито 1;30;veiga
19;3;ОH19_3;;Hydrobia ulvae;375;905;"2,676";Аристов;Alexeeva_onega25.pdf(8);сито 1;30;veiga
19;3;ОH19_3;;Nereis sp.;788;1;"0,034";Манылова;Alexeeva_onega25.pdf(8);сито 1;30;veiga
19;3;ОH19_3;;Fabricia sabella;797;2;"0,001";Манылова;"Poloskin-2_07.jpg, (0.5)";сито 0.5;30;veiga
19;3;ОH19_3;;Eteone longa;709;2;"0,003";Манылова;"Poloskin-2_07.jpg, (0.5)";сито 0.5;30;veiga
19;3;ОH19_3;;Pygospio elegans;740;1;"0,001";Манылова;"Poloskin-2_07.jpg, (0.5)";сито 0.5;30;veiga
19;3;ОH19_3;;Hydrobia sp.;#N/A;7;"0,008";Манылова;"Poloskin-2_07.jpg, (0.5)";сито 0.5;30;veiga
19;3;ОH19_3;;Paranais litoralis;833;4;"0,002";Манылова;"Poloskin-2_07.jpg, (0.5)";сито 0.5;30;veiga
19;3;ОH19_3;;Tubifex costatus;828;18;"0,007";Манылова;"Poloskin-2_07.jpg, (0.5)";сито 0.5;30;veiga
19;2;ОH19_2;;Macoma balthica;435;16;"6,752";Аристов;Alexeeva_onega25.pdf(9);сито 1;30;veiga
19;2;ОH19_2;;Eteone longa;709;1;"0,002";Аристов;Alexeeva_onega25.pdf(9);сито 1;30;veiga
19;2;ОH19_2;;Alita virens;789;1;"0,047";Аристов;Alexeeva_onega25.pdf(9);сито 1;30;veiga
19;2;ОH19_2;;Tubifex costatus;828;3;"0,002";Аристов;Alexeeva_onega25.pdf(9);сито 1;30;veiga
19;2;ОH19_2;;Pygospio elegans;740;1;"0,001";Аристов;Alexeeva_onega25.pdf(9);сито 1;30;veiga
19;2;ОH19_2;;Hydrobia ventrosa;376;43;"0,1";Аристов;Alexeeva_onega25.pdf(9);сито 1;30;veiga
19;2;ОH19_2;;Hydrobia ulvae;375;591;"1,444";Аристов;Alexeeva_onega25.pdf(9);сито 1;30;veiga
19;2;ОH19_2;;Hydrobia sp.;#N/A;11;"0,01";Манылова;"Poloskin-2_06.jpg, (0.5)";сито 0.5;30;veiga
19;2;ОH19_2;;Fabricia sabella;797;1;"0,001";Манылова;"Poloskin-2_06.jpg, (0.5)";сито 0.5;30;veiga
19;2;ОH19_2;;Eteone longa;709;1;"0,001";Манылова;"Poloskin-2_06.jpg, (0.5)";сито 0.5;30;veiga
19;2;ОH19_2;;Tubifex costatus;828;43;"0,014";Манылова;"Poloskin-2_06.jpg, (0.5)";сито 0.5;30;veiga
19;2;ОH19_2;;Pygospio elegans;740;2;"0,002";Манылова;"Poloskin-2_06.jpg, (0.5)";сито 0.5;30;veiga
32;3;ОH32_3;;Macoma balthica;435;7;"1,805";Аристов;Alexeeva_onega25.pdf(3-4);без разд. на сито;1;glub
32;3;ОH32_3;;Fucus vesiculosus;993;;"0,194";Аристов;Alexeeva_onega25.pdf(3-4);без разд. на сито;1;glub
32;3;ОH32_3;;Enteromorpha prolifera;1000;;"1,69";Аристов;Alexeeva_onega25.pdf(3-4);без разд. на сито;1;glub
32;3;ОH32_3;;Ilea zostericola;1002;;"0,005";Аристов;Alexeeva_onega25.pdf(3-4);без разд. на сито;1;glub
32;3;ОH32_3;;Polysiphonia sp.;969;;"0,001";Аристов;Alexeeva_onega25.pdf(3-4);без разд. на сито;1;glub
32;3;ОH32_3;;Nymphon sp.;276;1;"0,009";Аристов;Alexeeva_onega25.pdf(3-4);без разд. на сито;1;glub
32;3;ОH32_3;;Spio theeli;732;39;"0,017";Аристов;Alexeeva_onega25.pdf(3-4);без разд. на сито;1;glub
32;3;ОH32_3;;Eteone longa;709;7;"0,009";Аристов;Alexeeva_onega25.pdf(3-4);без разд. на сито;1;glub
32;3;ОH32_3;;Capitella capitata;642;2;"0,025";Аристов;Alexeeva_onega25.pdf(3-4);без разд. на сито;1;glub
32;3;ОH32_3;;Arenicola marina;615;2;"0,011";Аристов;Alexeeva_onega25.pdf(3-4);без разд. на сито;1;glub
32;3;ОH32_3;;Nephthys minuta;784;2;"0,002";Аристов;Alexeeva_onega25.pdf(3-4);без разд. на сито;1;glub
32;3;ОH32_3;;Polychaeta;819;1;"0,002";Аристов;Alexeeva_onega25.pdf(3-4);без разд. на сито;1;glub
32;3;ОH32_3;;Tubificoides benedeni;829;2;"0,002";Аристов;Alexeeva_onega25.pdf(3-4);без разд. на сито;1;glub
32;3;ОH32_3;;Tubifex costatus;828;1;"0,002";Аристов;Alexeeva_onega25.pdf(3-4);без разд. на сито;1;glub
32;3;ОH32_3;;Clitellio arenarius;826;1;"0,001";Аристов;Alexeeva_onega25.pdf(3-4);без разд. на сито;1;glub
32;3;ОH32_3;;Mytilus edulis;457;56;"1,228";Аристов;Alexeeva_onega25.pdf(3-4);без разд. на сито;1;glub
32;3;ОH32_3;;Hydrobia ulvae;375;337;"0,741";Аристов;Alexeeva_onega25.pdf(3-4);без разд. на сито;1;glub
32;1;ОH32_1;;Enteromorpha prolifera;1000;;"2,916";Аристов;Alexeeva_onega25.pdf(4-5);без разд. на сито;1;glub
32;1;ОH32_1;;Crangon crangon;250;2;"0,839";Аристов;Alexeeva_onega25.pdf(4-5);без разд. на сито;1;glub
32;1;ОH32_1;;Macoma balthica;435;3;"4,15";Аристов;Alexeeva_onega25.pdf(4-5);без разд. на сито;1;glub
32;1;ОH32_1;;Polysiphonia sp.;969;;"0,114";Аристов;Alexeeva_onega25.pdf(4-5);без разд. на сито;1;glub
32;1;ОH32_1;;Pyllaiella litoralis;985;;"0,001";Аристов;Alexeeva_onega25.pdf(4-5);без разд. на сито;1;glub
32;1;ОH32_1;;Dynamena pumila;6;;"0,019";Аристов;Alexeeva_onega25.pdf(4-5);без разд. на сито;1;glub
32;1;ОH32_1;;Aulactinia stella;91;1;"0,039";Аристов;Alexeeva_onega25.pdf(4-5);без разд. на сито;1;glub
32;1;ОH32_1;;Gammarus sp.;189;3;"0,003";Аристов;Alexeeva_onega25.pdf(4-5);без разд. на сито;1;glub
32;1;ОH32_1;;Calliopius laeviusculus;157;5;"0,005";Аристов;Alexeeva_onega25.pdf(4-5);без разд. на сито;1;glub
32;1;ОH32_1;;Chironomidae;281;5;"0,005";Аристов;Alexeeva_onega25.pdf(4-5);без разд. на сито;1;glub
32;1;ОH32_1;;Arenicola marina;615;1;"0,004";Аристов;Alexeeva_onega25.pdf(4-5);без разд. на сито;1;glub
32;1;ОH32_1;;Nephthys minuta;784;1;"0,001";Аристов;Alexeeva_onega25.pdf(4-5);без разд. на сито;1;glub
32;1;ОH32_1;;Pygospio elegans;740;1;"0,005";Аристов;Alexeeva_onega25.pdf(4-5);без разд. на сито;1;glub
32;1;ОH32_1;;Spio theeli;732;10;"0,005";Аристов;Alexeeva_onega25.pdf(4-5);без разд. на сито;1;glub
32;1;ОH32_1;;Eteone longa;709;1;"0,001";Аристов;Alexeeva_onega25.pdf(4-5);без разд. на сито;1;glub
32;1;ОH32_1;;Tubificoides benedeni;829;1;"0,001";Аристов;Alexeeva_onega25.pdf(4-5);без разд. на сито;1;glub
32;1;ОH32_1;;Phyllodoce maculata;718;1;"0,003";Аристов;Alexeeva_onega25.pdf(4-5);без разд. на сито;1;glub
32;1;ОH32_1;;Mytilus edulis;457;162;"1,118";Аристов;Alexeeva_onega25.pdf(4-5);без разд. на сито;1;glub
32;1;ОH32_1;;Littorina littorea;379;1;"0,003";Аристов;Alexeeva_onega25.pdf(4-5);без разд. на сито;1;glub
32;1;ОH32_1;;Hydrobia ulvae;375;825;"2,036";Аристов;Alexeeva_onega25.pdf(5-6);без разд. на сито;1;glub
34;3;ОH34_3;;Mytilus edulis;457;251;"0,553";Аристов;Alexeeva_onega25.pdf(5-6);без разд. на сито;1;glub
34;3;ОH34_3;;Macoma balthica;435;7;"6,025";Аристов;Alexeeva_onega25.pdf(5-6);без разд. на сито;1;glub
34;3;ОH34_3;;Mya arenaria;440;1;"0,288";Аристов;Alexeeva_onega25.pdf(5-6);без разд. на сито;1;glub
34;3;ОH34_3;;Crangon crangon;250;1;"1,166";Аристов;Alexeeva_onega25.pdf(5-6);без разд. на сито;1;glub
34;3;ОH34_3;;Littorina obtusata;380;14;"1,708";Аристов;"возм. часть - L. fabalis, Alexeeva_onega25.pdf(5-6)";без разд. на сито;1;glub
34;3;ОH34_3;;Epheria vincta;373;1;"0,006";Аристов;Alexeeva_onega25.pdf(5-6);без разд. на сито;1;glub
34;3;ОH34_3;;Enteromorpha prolifera;1000;;"0,001";Аристов;Alexeeva_onega25.pdf(5-6);без разд. на сито;1;glub
34;3;ОH34_3;;Polysiphonia sp.;969;;"0,001";Аристов;Alexeeva_onega25.pdf(5-6);без разд. на сито;1;glub
34;3;ОH34_3;;Cladophora sericea;996;;"0,001";Аристов;Alexeeva_onega25.pdf(5-6);без разд. на сито;1;glub
34;3;ОH34_3;;Hydrobia ulvae;375;68;"0,109";Аристов;Alexeeva_onega25.pdf(5-6);без разд. на сито;1;glub
